Name of Person or Organization;Date of Gift;Value of Gift
UNIVERSITY OF MIAMI;10/23/2007;$12,000
UNIVERSITY OF MIAMI;01.10.2008;$50
UNIVERSITY OF MIAMI;01.11.2008;$2,000
UNIVERSITY OF MICHIGAN;10.01.2007;$250
UNIVERSITY OF MICHIGAN;10.01.2007;$250
UNIVERSITY OF MINNESOTA FOUNDATION;10.05.2007;$150
UNIVERSITY OF MINNESOTA FOUNDATION;11/15/2007;$50
UNIVERSITY OF MINNESOTA FOUNDATION;05.07.2008;$500
UNIVERSITY OF MINNESOTA FOUNDATION;7/23/2008;$2,000
UNIVERSITY OF MINNESOTA FOUNDATION;09.05.2008;$2,000
UNIVERSITY OF NORTH CAROLINA;10.05.2007;$125
UNIVERSITY OF NORTH CAROLINA;05.07.2008;$200
UNIVERSITY OF NORTH CAROLINA;06.10.2008;$150
UNIVERSITY OF NOTRE DAME DU LAC;10.05.2007;$1,500
UNIVERSITY OF NOTRE DAME DU LAC;12/19/2007;$1,500
UNIVERSITY OF NOTRE DAME DU LAC;05.01.2008;$1,300
UNIVERSITY OF NOTRE DAME DU LAC;05.07.2008;$2,000
UNIVERSITY OF NOTRE DAME DU LAC;7/23/2008;$100
UNIVERSITY OF OREGON FOUNDATION;06.10.2008;$1,000
UNIVERSITY OF RHODE ISLAND;02.04.2008;$2,000
UNIVERSITY OF RICHMOND;12.10.2007;$100
UNIVERSITY OF RICHMOND;7/16/2008;$1,900
UNIVERSITY OF ROCHESTER MEDICAL CENTER;02.04.2008;$600
UNIVERSITY OF SAN FRANCISCO;10/24/2007;$125
UNIVERSITY OF SAN FRANCISCO;12/19/2007;$125
UNIVERSITY OF SCRANTON;7/16/2008;$250
UNIVERSITY OF SOUTH CAROLINA EDUCATIONAL;06.10.2008;$1,336
UNIVERSITY OF SOUTHERN CALIFORNIA;05.07.2008;$100
UNIVERSITY OF SOUTHERN CALIFORNIA;06.10.2008;$50
UNIVERSITY OF TEXAS AT AUSTIN;10.05.2007;$1,680
UNIVERSITY OF VERMONT;10/24/2007;$500
UNIVERSITY OF VERMONT;7/23/2008;$500
UNIVERSITY OF VIRGINIA FUND;10.05.2007;$100
UNIVERSITY OF VIRGINIA LAW;07.02.2008;$1,000
UNIVERSITY OF WASHINGTON FOUNDATION;02.04.2008;$200
UNIVERSITY OF WASHINGTON FOUNDATION;06.10.2008;$250
UNIVERSITY OF WISCONSIN FOUNDATION;12/19/2007;$200
UNIVERSITY OF WISCONSIN FOUNDATION;1/22/2008;$2,000
UNIVERSITY OF WISCONSIN FOUNDATION;05.07.2008;$2,000
UNIVERSITY OF WISCONSIN FOUNDATION;7/23/2008;$2,000
URBAN DOVE;12/19/2007;$400
URBAN DOVE;05.07.2008;$150
URBAN DOVE;7/16/2008;$20,125
URBAN LAND INSTITUTE;10/17/2007;$1,530
US PAN ASIAN AMERICAN CHAMBER OF;12.11.2007;$10,000
USMMA ALUMNI FOUNDATION;03.03.2008;$250
USS CONSTITUTION MUSEUM FOUNDATION INC;7/23/2008;$100
USTCALUMNI;10.12.2007;$350
USTCALUMNI;07.02.2008;$210
VALLEY STREAM HAMMERS;06.10.2008;$1,000
VALLEY VILLAGE;10.12.2007;$100
VANDERBILT UNIVERSITY;05.01.2008;$2,050
VANDERBILT UNIVERSITY;05.07.2008;$2,050
VANDERBILT UNIVERSITY;7/23/2008;$1,000
VANDERBILT UNIVERSITY;09.05.2008;$100
VARSITY CLUB OF STATEN ISLAND;11/15/2007;$2,000
VARSITY CLUB OF STATEN ISLAND;02.04.2008;$1,500
VEGAN OUTREACH;12.10.2007;$1,000
VERONA FOUNDATION FOR EDUCATIONAL;12.04.2007;$500
VERONA FOUNDATION FOR EDUCATIONAL;09.05.2008;$1,000
VETERANS OF FOREIGN WARS FOUNDATION;05.07.2008;$150
VICTORY PROGRAMS INC;9/21/2007;$1,000
VIKING PRIDE FOUNDATION;12/19/2007;$100
VILLAGE COMMUNITY SCHOOL;05.01.2008;$175
VILLAGE SCHOOL INC;06.10.2008;$2,000
VILLANOVA UNIVERSITY;10.05.2007;$650
VILLANOVA UNIVERSITY;12/19/2007;$130
VILLANOVA UNIVERSITY;05.01.2008;$500
VILLANOVA UNIVERSITY;5/14/2008;$250
VILLANOVA UNIVERSITY;7/23/2008;$1,125
VILLANOVA UNIVERSITY;09.05.2008;$600
VININGS ROTARY CHARITY FUND INC;12.04.2007;$100
VIRGINIA TECH FOUNDATION;10.12.2007;$550
VIRGINIA TECH FOUNDATION;05.01.2008;$125
VIRTUEMEDIA;4/25/2008;$1,000
VIRTUEMEDIA;5/20/2008;$100
VISITING NURSE SERVICE OF NY;05.01.2008;$100
VISITING NURSES ASSOCIATION OF CENTRAL;09.05.2008;$2,000
VOICES AGAINST BRAIN CANCER;10/16/2007;$625
VOLUNTEERS FOR OUTDOOR COLORADO INC;10.12.2007;$100
VOLUNTEERS OF AMERICA;11.06.2007;$725
WABASH COLLEGE;5/19/2008;$500
WAR CHILD USA;3/17/2008;$150
WASHINGTON AND LEE UNIVERSITY;10.05.2007;$4,700
WASHINGTON AND LEE UNIVERSITY;02.04.2008;$1,200
WASHINGTON AND LEE UNIVERSITY;05.07.2008;$500
WASHINGTON AND LEE UNIVERSITY;06.10.2008;$850
WASHINGTON AND LEE UNIVERSITY;7/23/2008;$2,000
WASHINGTON AND LEE UNIVERSITY;09.05.2008;$100
WASHINGTON TOWNSHIP BOARD OF ED;07.02.2008;$100
WASHINGTON UNIVERSITY;9/21/2007;$50
WASHINGTON UNIVERSITY;10.12.2007;$1,000
WASHINGTON UNIVERSITY;5/14/2008;$500
WASHINGTON UNIVERSITY;06.10.2008;$150
WATER AID AMERICA INC;03.03.2008;$131
WAYNE STATE UNIVERSITY FOUNDATION;9/24/2007;$2,000
WEILL MEDICAL COLLEGE OF CORNELL;02.04.2008;$2,000
WEILL MEDICAL COLLEGE OF CORNELL;5/14/2008;$50
WELLESLEY COLLEGE;10/24/2007;$250
WELLESLEY COLLEGE;12/19/2007;$150
WELLESLEY COLLEGE;05.01.2008;$50
WELLESLEY COLLEGE;06.10.2008;$1,850
WELLESLEY COLLEGE;7/16/2008;$100
WESLEYAN SCHOOL;10.05.2007;$700
WESLEYAN UNIVERSITY;10.05.2007;$1,000
WESLEYAN UNIVERSITY;02.04.2008;$1,000
WEST FIELD VOLUNTEER RESCUE SQUAD;12.10.2007;$100
WEST FIELD VOLUNTEER RESCUE SQUAD;1/15/2008;$100
WESTCHESTER LAND TRUST;12/19/2007;$1,000
WESTFIELD UNITED WAY;12/19/2007;$250
WESTMONT COLLEGE;5/14/2008;$2,000
WESTPORT FIELD OF DREAMS;3/17/2008;$250
WETHERSFIELD HISTORICAL SOCIETY;10.05.2007;$200
WHEATON COLLEGE;05.07.2008;$1,000
WHEATON COLLEGE;09.05.2008;$600
WHITBY SCHOOL INC;10.12.2007;$2,000
WHITBY SCHOOL INC;06.10.2008;$2,000
WHITTIER COLLEGE;06.10.2008;$400
WILD ANIMAL ORPHANAGE;05.01.2008;$100
WILDLIFE CONSERVATION SOCIETY;05.07.2008;$150
WILDLIFE CONSERVATION SOCIETY;7/16/2008;$1,000
WILLIAMS COLLEGE;02.04.2008;$1,050
WILLIAMS COLLEGE;05.01.2008;$500
WILLIAMS COLLEGE;05.07.2008;$1,000
WILLIAMS COLLEGE;06.10.2008;$700
WILLIAMS MYSTIC MARITIME STUDIES PROGRAM;07.02.2008;$100
WILLISTON NORTHAMPTON SCHOOL;10/24/2007;$500
WILMOT ELEMENTARY SCHOOL;12.10.2007;$150
WINDOW TO THE WORLD COMMUNICAT;12/19/2007;$300
WINGS WORLD QUEST INC.;1/29/2008;$15,000
WINSOR SCHOOL;12/19/2007;$50
WINSOR SCHOOL;5/14/2008;$100
WNYC RADIO;10.05.2007;$75
WNYC RADIO;10.12.2007;$130
WNYC RADIO;11/15/2007;$400
WNYC RADIO;12/19/2007;$212
WNYC RADIO;02.04.2008;$112
WNYC RADIO;5/14/2008;$64
WNYC RADIO;06.10.2008;$300
WNYC RADIO;7/16/2008;$274
WNYC RADIO;7/23/2008;$370
WOMEN'S BOND CLUB OF NEW YORK        ;05.12.2008;$8,500
WOMEN'S BUSINESS ENTERPRISE;9/18/2007;$2,500
WOMEN'S BUSINESS ENTERPRISE;1/22/2008;$1,500
WOMEN'S BUSINESS ENTERPRISE;2/19/2008;$15,000
WOMEN'S BUSINESS ENTERPRISE;07.09.2008;$525
WOMEN'S LEADERSHIP FUND              ;2/26/2008;$25,000
WOMEN'S PRESIDENTS EDUCATION ORG.;1/22/2008;$5,000
WOMEN'S PRESIDENTS EDUCATION ORG.;1/31/2008;$1,500
WORLD OF CHILDREN INC;11/15/2007;$2,000
WORLD VISION;10/24/2007;$2,000
WORLD VISION;11/15/2007;$1,450
WORLD VISION;12/19/2007;$100
WORLD VISION;05.07.2008;$2,010
WORLD VISION;06.10.2008;$1,000
WORLD VISION;09.05.2008;$250
WORLD WILDLIFE FUND;10/24/2007;$63
WORLD WILDLIFE FUND;11/15/2007;$100
WORLD WILDLIFE FUND;12/19/2007;$79
WORLD WILDLIFE FUND;05.01.2008;$300
WORLD WILDLIFE FUND;05.07.2008;$1,125
WORTHINGTON CHRISTIAN SCHOOLS;03.03.2008;$2,000
WWPINC;7/23/2008;$100
WYCA (EASTERN US);7/16/2008;$1,000
WYOMING STOCKGROWERS;10.12.2007;$2,000
XAVERIAN BROTHERS HIGH SCHOOL;10.05.2007;$100
XAVERIAN HIGH SCHOOL;09.05.2008;$100
XAVIER HIGH SCHOOL-NY;5/14/2008;$100
Y ENTERPRENEURIAL SOCIETY INC.;10.11.2007;$1,500
Y ENTERPRENEURIAL SOCIETY INC.;10.11.2007;$2,500
Y ENTERPRENEURIAL SOCIETY INC.;10.11.2007;$3,000
YAD EZRA VSHULAMIT;12/19/2007;$200
YAI YOUNG ADULT INSTITUTE;10/24/2007;$1,275
YALE UNIVERSITY;10.05.2007;$2,000
YALE UNIVERSITY;10/24/2007;$300
YALE UNIVERSITY;11/15/2007;$2,200
YALE UNIVERSITY;12/19/2007;$1,350
YALE UNIVERSITY;02.04.2008;$250
YALE UNIVERSITY;05.01.2008;$500
YALE UNIVERSITY;05.07.2008;$800
YALE UNIVERSITY;5/14/2008;$1,400
YALE UNIVERSITY;7/16/2008;$1,300
YALE UNIVERSITY;8/22/2008;$7,500
YALE UNIVERSITY;09.05.2008;$250
YAVNEH ACADEMY & TALMUD TORAH;12/19/2007;$2,000
YAVNEH ACADEMY & TALMUD TORAH;06.10.2008;$1,000
YESHIVA KTANA OF PASSAIC;5/14/2008;$2,000
YESHIVA KTANA OF PASSAIC;09.05.2008;$2,000
YESHIVA OF NORTH JERSEY;7/23/2008;$750
YESHIVA OF NORTH JERSEY;08.06.2008;$500
YMCA OF GREATER NEW YORK;11/15/2007;$1,000
YMCA OF GREATER NEW YORK;02.04.2008;$500
YMCA OF GREATER NEW YORK;06.10.2008;$500
YMCA OF SUMMIT;03.03.2008;$250
Y-ME NATIONAL BREAST CANCER ORGANIZATION;10/24/2007;$150
Y-ME NATIONAL BREAST CANCER ORGANIZATION;12/19/2007;$50
Y-ME NATIONAL BREAST CANCER ORGANIZATION;05.01.2008;$600
Y-ME NATIONAL BREAST CANCER ORGANIZATION;09.05.2008;$100
YORK STREET PROJECT;12/19/2007;$50
YORK STREET PROJECT;7/16/2008;$650
YOUNG AMERICANS CENTER FOR;9/24/2007;$100
YOUNG MENS CHRISTIAN ASSOCIATION INC;9/21/2007;$200
YOUNG SURVIVAL COALITION;10.03.2007;$50
YOUNG SURVIVAL COALITION;10.05.2007;$100
YOUNG SURVIVAL COALITION;11/15/2007;$500
YOUNG SURVIVAL COALITION;12/19/2007;$100
YOUTH INC;05.01.2008;$600
YWCA OF THE CITY OF NEW YORK                           ;10/22/2007;$15,000
YWCA OF THE CITY OF NEW YORK                           ;11/15/2007;$2,000
YWCANYC;1/22/2008;$50
